"","treatment_class","variable","N","value","sd","se","ci"
"21","OX_1.5","Stat.slp",14,-69.1149175357143,25.759042459072,6.88439367808645,14.8728283208886
"22","OX_1.5","Stat.spkNum",14,50.8392857142857,16.9554300194025,4.53152928414473,9.78977383130954
"23","OX_1.5","Thr.F",14,31.1782502621429,13.5192417821412,3.61316934840939,7.80577781079573
"24","OX_1.5","Thr.F1",14,29.9102355,15.6715963977442,4.1884103160114,9.04851036711645
"25","OX_1.5","Thr.F3",14,46.3163457857143,23.1795484033133,6.19499489323866,13.3834727942999
"26","OX_1.5","Thr.L",14,0.894533291642857,0.43048003503382,0.115050628781643,0.248551772326197
"27","OX_1.5","Thr.L1",14,0.752525714285714,0.455844712553338,0.121829623996217,0.263196901110075
"28","OX_1.5","Thr.L3",14,1.4040235,0.53469509713103,0.142903275703723,0.308723757736185
"29","OX_1.5","Thr.T",14,45.1222857142857,23.3225456798569,6.2332125229578,13.4660369636694
"30","OX_1.5","Thr.T1",14,214.72505,154.576213957003,41.3122309122692,89.2496487914197
"31","OX_1.5","Thr.T3",14,371.076571428571,143.816187896867,38.4364929844271,83.0369947079083
"32","OX_Ia","Dyn.DI",19,116.745085078947,26.8631914325292,6.16283877659907,12.9476438162091
"33","OX_Ia","Dyn.F",19,160.022936052632,56.622300462431,12.9900466140281,27.29107523517
"34","OX_Ia","Dyn.IB",19,205.661114831579,160.226055927502,36.7583782057935,77.2264869360673
"35","OX_Ia","Dyn.IFRdrop",19,111.064218052632,28.1790284130073,6.46471248312949,13.5818569396281
